2025-03-28 18:18:24,252 - EPOCH ::: 1
2025-03-28 18:31:00,536 - EPOCH ::: 4
2025-03-28 18:31:01,989 - Loss_pi: 4.207472801208496, Loss_v: 0.18858543038368225
2025-03-28 18:31:06,501 - Loss_pi: 3.9654831886291504, Loss_v: 0.17971214652061462
2025-03-28 18:31:10,909 - Loss_pi: 3.820349375406901, Loss_v: 0.16672518849372864
2025-03-28 18:31:15,415 - Loss_pi: 3.7554874420166016, Loss_v: 0.1682421676814556
2025-03-28 18:31:19,853 - Loss_pi: 3.7084584712982176, Loss_v: 0.16266899108886718
2025-03-28 18:31:24,231 - Loss_pi: 3.746054450670878, Loss_v: 0.15645722796519598
2025-03-28 18:31:28,706 - Loss_pi: 3.7155486856188094, Loss_v: 0.15864901457514083
2025-03-28 18:31:33,185 - Loss_pi: 3.7330956757068634, Loss_v: 0.14663423504680395
2025-03-28 18:31:37,646 - Loss_pi: 3.702828327814738, Loss_v: 0.14777151826355192
2025-03-28 18:31:42,134 - Loss_pi: 3.6733065843582153, Loss_v: 0.14525985941290856
2025-03-28 18:31:46,614 - Loss_pi: 3.672380729155107, Loss_v: 0.1462939361279661
2025-03-28 18:31:51,020 - Loss_pi: 3.699807345867157, Loss_v: 0.13950328653057417
2025-03-28 18:31:55,531 - Loss_pi: 3.705555255596454, Loss_v: 0.13949117293724647
2025-03-28 18:32:00,029 - Loss_pi: 3.70680376461574, Loss_v: 0.139445926461901
2025-03-28 18:32:04,506 - Loss_pi: 3.731832917531331, Loss_v: 0.14071401357650756
2025-03-28 18:32:08,907 - Loss_pi: 3.725681096315384, Loss_v: 0.14396903477609158
2025-03-28 18:32:13,405 - Loss_pi: 3.7242338797625374, Loss_v: 0.14286058264620163
2025-03-28 18:32:17,886 - Loss_pi: 3.721719675593906, Loss_v: 0.14187409480412802
2025-03-28 18:32:22,271 - Loss_pi: 3.715792693589863, Loss_v: 0.13850512394779607
2025-03-28 18:32:26,661 - Loss_pi: 3.7150665163993835, Loss_v: 0.1346952948719263
2025-03-28 18:32:31,042 - Loss_pi: 3.7290931315649125, Loss_v: 0.13502293860628492
2025-03-28 18:32:35,457 - Loss_pi: 3.7073675610802392, Loss_v: 0.13177695226940242
2025-03-28 18:32:39,916 - Loss_pi: 3.718000132104625, Loss_v: 0.13340448134619257
2025-03-28 18:32:44,380 - Loss_pi: 3.7235250174999237, Loss_v: 0.13306001604845127
2025-03-28 18:32:48,896 - Loss_pi: 3.7195634746551516, Loss_v: 0.13275967568159103
2025-03-28 18:32:53,331 - Loss_pi: 3.71760932298807, Loss_v: 0.13368079553429896
2025-03-28 18:32:57,757 - Loss_pi: 3.7117141617669, Loss_v: 0.13516699853870603
2025-03-28 18:33:02,201 - Loss_pi: 3.707919878619058, Loss_v: 0.1347783114761114
2025-03-28 18:33:06,647 - Loss_pi: 3.6979192125386207, Loss_v: 0.1339573117679563
2025-03-28 18:33:11,126 - Loss_pi: 3.695654765764872, Loss_v: 0.1358538918197155
2025-03-28 18:33:15,602 - Loss_pi: 3.7006298418967956, Loss_v: 0.13352513505566505
2025-03-28 18:33:20,117 - Loss_pi: 3.6971371322870255, Loss_v: 0.13327153213322163
2025-03-28 18:33:24,495 - Loss_pi: 3.6962334314982095, Loss_v: 0.13349047845060175
2025-03-28 18:33:28,915 - Loss_pi: 3.697164367226993, Loss_v: 0.1346114216481938
2025-03-28 18:33:33,329 - Loss_pi: 3.698692716870989, Loss_v: 0.1325386311326708
2025-03-28 18:33:37,822 - Loss_pi: 3.694600913259718, Loss_v: 0.13401608831352657
2025-03-28 18:33:42,351 - Loss_pi: 3.6924821492787956, Loss_v: 0.13333937908346588
2025-03-28 18:33:46,841 - Loss_pi: 3.6977665424346924, Loss_v: 0.133575426316575
2025-03-28 18:33:51,405 - Loss_pi: 3.700835093473777, Loss_v: 0.13423922638862562
2025-03-28 18:33:55,927 - Loss_pi: 3.6940911412239075, Loss_v: 0.13366239629685878
2025-03-28 18:34:00,423 - Loss_pi: 3.689420438394314, Loss_v: 0.1328485411841695
2025-03-28 18:34:04,912 - Loss_pi: 3.693123391696385, Loss_v: 0.13238770266373953
2025-03-28 18:34:09,405 - Loss_pi: 3.6886887550354004, Loss_v: 0.13149223390013673
2025-03-28 18:34:13,788 - Loss_pi: 3.690989700230685, Loss_v: 0.13242850215597587
2025-03-28 18:34:18,162 - Loss_pi: 3.6901879840426974, Loss_v: 0.13193643904394572
2025-03-28 18:34:22,634 - Loss_pi: 3.688481683316438, Loss_v: 0.13141390260147012
2025-03-28 18:34:27,078 - Loss_pi: 3.6785749628188764, Loss_v: 0.1318612555240063
2025-03-28 18:34:31,525 - Loss_pi: 3.679063950975736, Loss_v: 0.13394908607006073
2025-03-28 18:34:35,977 - Loss_pi: 3.6807186116977615, Loss_v: 0.13265529092477293
2025-03-28 18:34:40,548 - Loss_pi: 3.6756656169891357, Loss_v: 0.1334451848268509
2025-03-28 18:34:45,129 - Loss_pi: 3.6705955430573107, Loss_v: 0.13332390493037655
2025-03-28 18:34:49,695 - Loss_pi: 3.676306596169105, Loss_v: 0.13435105291696695
2025-03-28 18:34:54,177 - Loss_pi: 3.6703832194490253, Loss_v: 0.13441876842165892
2025-03-28 18:34:58,701 - Loss_pi: 3.6796256171332464, Loss_v: 0.13411741896911902
2025-03-28 18:35:03,177 - Loss_pi: 3.681878614425659, Loss_v: 0.13496364490552382
2025-03-28 18:35:07,686 - Loss_pi: 3.677407447780882, Loss_v: 0.13364285909171617
2025-03-28 18:35:11,808 - EPOCH ::: 5
2025-03-28 18:35:13,397 - Loss_pi: 3.755392074584961, Loss_v: 0.1748189628124237
2025-03-28 18:35:17,812 - Loss_pi: 3.685373306274414, Loss_v: 0.1800745204091072
2025-03-28 18:35:22,243 - Loss_pi: 3.714474360148112, Loss_v: 0.15621443341175714
2025-03-28 18:35:26,744 - Loss_pi: 3.7791258096694946, Loss_v: 0.15216449089348316
2025-03-28 18:35:31,144 - Loss_pi: 3.7581059455871584, Loss_v: 0.1591008260846138
